Video_URL,Video_Title,Comment
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Cam không lo làm sau cho đất nước phát triển, kết giao với các nước phát triển để cùng tiến mà lại có thời gian ngồi soi cộng đồng mạng cười cợt mình mà nhảy nai bắt bẻ ,Cam giống cậu bé to đầu hay dõi hờn😅😅"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Không quan tâm đến bọn cam , 1 đất nước là trung tâm lừa đảo của thế giới thì không bao giờ có tiếng nói"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Vẫn có cầu để tàu thuyền chui qua chỉ là do Việt Nam kiểm soát
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Nhắc đến Cam mà buồn nẫu ruột.
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"😂😂😂😂 bọn CPC láo nháo nhà nước Việt Nam cấm cửa khẩu vài ngày là há họng ngay, bọn này nó không biết hay không hiểu là giờ hàng hóa của nó đang lệ thuộc Việt Nam nhỉ. Thái Lan nghĩ bán hàng mà giờ thêm Việt Nam trì trệ nữa thì cả nước nó loạn liền."
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Kệ nó đất ai người nấy làm chả ai liên quan đến ai,không làm để họ cho Trung Quốc thuê ream dí dao vào sau lưng à bắt tay với Trung Quốc để đì Việt Nam xuống sao có cửa 😂😂😂"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Nó xây kênh đào Phù Nam thì quyết tâm thế, còn lúc Việt Nam làm cầu vượt biển trong phạm vi lãnh thổ thì nó nhảy cẫng lên😂"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"hồi Cam đào kênh Phù Nam có quan tâm nó dây hậu quả cho VN thế nào đâu, giờ VN xây đường thì Cam cũng kệ VN đi, đất ai người đó làm, vậy đi ha"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Chúng m tuổi
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Nhảy vô bé
