Video_URL,Time,Author,Message
https://www.youtube.com/watch?v=X_dppNer2LE,,@tqgminh,"Anh Quân nói chuẩn, đần mới làm vậy"
https://www.youtube.com/watch?v=X_dppNer2LE,,@Ductam03,đá suốt ngày mà ko biết cờ??
https://www.youtube.com/watch?v=X_dppNer2LE,,@trananhhoang6089,Mang tiếng ae hàng xóm mà k biết. Đùa à ?
https://www.youtube.com/watch?v=X_dppNer2LE,,@khoatrananh1366,Đúng nha đi du lịch còn nhầm 2 nước
https://www.youtube.com/watch?v=X_dppNer2LE,,@quanchuc4881,nói đần
https://www.youtube.com/watch?v=X_dppNer2LE,,@gatocchien9624,gặp bao nhiêu lâu kêu ko biết
https://www.youtube.com/watch?v=X_dppNer2LE,,@hainguyenson6538,Chứng tỏ ông này đang coi nhẹ vị thế và lá cờ Việt Nam
https://www.youtube.com/watch?v=X_dppNer2LE,,@thujunior2343,"giài ĐNA tại sao lai nhầm vs cờ TQ, họ ko biết cờ TQ à"
https://www.youtube.com/watch?v=X_dppNer2LE,,@HuyHoangNguyen-gv1mb,Thái Lan ko bt cờ VN tẩy não à
https://www.youtube.com/watch?v=X_dppNer2LE,,@khoaangnguyen8248,Anh em bình tĩnh ae ơiii
https://www.youtube.com/watch?v=X_dppNer2LE,,@HiepNguyen-we3kx,nói tào lao
https://www.youtube.com/watch?v=X_dppNer2LE,,@MrBungMo,Respect A Ngọc về sự hiểu biết và vị thế của anh nhưng anh nói thế thì không ổn đâu anh ơi
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,"Cái lá cờ rõ vậy mà còn không biết, thua cái ông bốc cờ"
https://www.youtube.com/watch?v=X_dppNer2LE,,@hongvietlinh4686,ông AN co vấn đề về nhận thưcs
https://www.youtube.com/watch?v=X_dppNer2LE,,@Lookattan46,"đần thật đấy , có những ng đéo biết thật đâu"
https://www.youtube.com/watch?v=X_dppNer2LE,,@anhoan1950,ông Ngọc nói linh tinh
https://www.youtube.com/watch?v=X_dppNer2LE,,@La-Pass1ón,
https://www.youtube.com/watch?v=X_dppNer2LE,,@MinhNguyennnnnn,Ngay cạnh nhau sao ko biết dc
https://www.youtube.com/watch?v=X_dppNer2LE,,@QuangDuy-p6o,Sắp hết giờ luôn rồi
https://www.youtube.com/watch?v=X_dppNer2LE,,@ucvo1532,không đồng tình với anh Ngọc
https://www.youtube.com/watch?v=X_dppNer2LE,,@ledung5723,ông chả có tý lòng tự tôn dân tộc nào
https://www.youtube.com/watch?v=X_dppNer2LE,,@anhoan1950,người làm trong LDBD thì phải biết chứ.
https://www.youtube.com/watch?v=X_dppNer2LE,,@quanchuc4881,nói chuyện kiểu k quá quan trọng việc này nhỉ
https://www.youtube.com/watch?v=X_dppNer2LE,,@ChuGiaARS,"k pik ai cho làm, ông Ngọc ngáo này"
https://www.youtube.com/watch?v=X_dppNer2LE,,@tano1749,"hiêu thâm thúy anh Ngọc nói xíu mấy ông, ko lẽ nói thẳng"
https://www.youtube.com/watch?v=X_dppNer2LE,,@hainguyenson6538,Ô ngọc nói năng cẩn thận đấy
https://www.youtube.com/watch?v=X_dppNer2LE,,@gatocchien9624,cùng một khi vực kêu ko biết
https://www.youtube.com/watch?v=X_dppNer2LE,,@enthusiastic1,Hên nó chưa đưa cờ sọc
https://www.youtube.com/watch?v=X_dppNer2LE,,@JotbsonDanielUSA,"Sống cùng khu vực bao nhiêu năm, thi đấu thể thao kè cựa các thứ, ông cầm cờ thì già, nếu là người Châu Phi hay Nam Mỹ còn hiểu được...Thiếu kiến thức và thiếu tinh tế khi xử lý cầm cờ"
https://www.youtube.com/watch?v=X_dppNer2LE,,@bear.2812,chị anh Ngọc đây à
https://www.youtube.com/watch?v=X_dppNer2LE,,@ucvo1532,anh Ngọc ăn nói cho cẩn thận
https://www.youtube.com/watch?v=X_dppNer2LE,,@La-Pass1ón,đừng var nhau nữa
https://www.youtube.com/watch?v=X_dppNer2LE,,@hongvietlinh4686,"ngáo rõ ,"
